# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.07
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 279 : [91.333s, 36646.526s] : 0.656080194736
@ 280 : [91.354s, 36777.933s] : 0.656016112436
@ 281 : [91.252s, 36909.192s] : 0.655952499093
@ 282 : [91.264s, 37040.469s] : 0.655889349486
@ 283 : [91.193s, 37171.681s] : 0.655826658471
@ 284 : [91.107s, 37302.798s] : 0.655764420986
@ 285 : [91.295s, 37434.119s] : 0.655702632045
@ 286 : [91.364s, 37565.512s] : 0.655641286738
@ 287 : [91.339s, 37696.877s] : 0.655580380229
@ 288 : [91.412s, 37828.378s] : 0.655519907756
@ 289 : [91.436s, 37959.806s] : 0.655459864628
@ 290 : [91.418s, 38091.249s] : 0.655400246225
@ 291 : [91.356s, 38222.710s] : 0.655341047997
@ 292 : [91.544s, 38354.319s] : 0.655282265458
@ 293 : [91.402s, 38485.759s] : 0.655223894194
@ 294 : [91.418s, 38617.214s] : 0.655165929852
@ 295 : [91.175s, 38748.396s] : 0.655108368145
@ 296 : [91.097s, 38879.526s] : 0.65505120485
@ 297 : [91.265s, 39010.852s] : 0.654994435803
@ 298 : [91.342s, 39142.189s] : 0.654938056903
@ 299 : [91.348s, 39273.596s] : 0.654882064107
@ 300 : [91.437s, 39405.057s] : 0.654826453433
* RMSE Train : 0.654826
* RMSE Test  : 0.877442
